player,0,0,1,0,0,0,0,0,
ground,0,-4,6,0,0,0,0,0,
ground,0,-4,2,0,0,0,0,0,
ground,0,-4,-2,0,0,0,0,0,
ground,0,-4,-6,0,0,0,0,0,
ground,0,-4,-10,0,0,0,0,0,
ground,0,-4,-14,0,0,0,0,0,
ground,0,-4,-18,0,0,0,0,0,
ground,0,-4,-22,0,0,0,0,0,
ground,0,-4,-26,0,0,0,0,0,
ground,0,-4,-30,0,0,0,0,0,
ground,0,-4,-34,0,0,0,0,0,
ground,0,-4,-38,0,0,0,0,0,
ground,0,-4,-42,0,0,0,0,0,
ground,0,-4,-46,0,0,0,0,0,
ground,0,-4,-50,0,0,0,0,0,
ground,0,-4,-54,0,0,0,0,0,
wall,-4,0,-4,0,0,0,0,0,
wall,-4,8,-4,0,0,0,0,0,
wall,4,0,-4,0,0,0,0,0,
wall,4,8,-4,0,0,0,0,0,
